internal_code,supplier_code,name,category_code,unit_type,stock,min_stock,purchase_price,sale_price,status,source
MM-GEN-000005,BOMBILLO,LED GRANDE 125V 20W CLEVER FEDERALLI,GEN,UND,10.00,3,0.00,56.00,ACTIVE,PDF Cotizacion
MM-ELE-000005,T100,BOMBILLO LED GRANDE 125V 30W CLEVER FEDERALLI,ELE,UND,10.00,3,0.00,65.50,ACTIVE,PDF Cotizacion
MM-GEN-000006,BOMBILLO,LED GRANDE T112 40W CLEVER FEDERALLI,GEN,UND,10.00,3,0.00,78.00,ACTIVE,PDF Cotizacion
MM-ELE-000006,T135,BOMBILLO LED GRANDE T135 60W CLEVER FEDERALLI,ELE,UND,5.00,3,0.00,120.00,ACTIVE,PDF Cotizacion
MM-FIJ-000011,CLAMP,"HOSE BRIDA SIN FIN O ABRAZADERA 1/2"" WORKEY",FIJ,UND,1.00,3,0.00,2.90,ACTIVE,PDF Cotizacion
MM-HER-000002,PROV-0025,"1/2"" UDBM21 BROCA PARA CONCRETO 1/4"" X 6"" INGCO BLISTER",HER,UND,6.00,3,0.00,47.05,ACTIVE,PDF Cotizacion
MM-GEN-000007,BROCA,PARA CONCRETO 5/16X6 UDBM21105162 INGCO,GEN,UND,6.00,3,0.00,55.35,ACTIVE,PDF Cotizacion
MM-HER-000003,PROV-0027,105162 UDBM21 BROCA PARA CONCRETO 3/8X4-3/4 UDBM21103081,HER,UND,6.00,3,0.00,60.00,ACTIVE,PDF Cotizacion
MM-HER-000004,BCF102,BROCA PARA METAL HSS 1/2 SET 5 UND UYUSTOOLS,HER,UND,1.00,3,0.00,475.00,ACTIVE,PDF Cotizacion
MM-HER-000005,BCF104,BROCA PARA METAL HSS 1/4 (6.4MM) SET 10UNID,HER,UND,1.00,3,0.00,225.00,ACTIVE,PDF Cotizacion
MM-HER-000006,BCF108,"UYUSTOOL BROCA PARA METAL HSS 1/8"" (3.2MM) SET 10 UND",HER,UND,1.00,3,0.00,92.00,ACTIVE,PDF Cotizacion
MM-HER-000007,BCF316,UYUSTOOLS BROCA PARA METAL HSS 3/16(4.8MM) SET 10 UNID,HER,UND,1.00,3,0.00,150.00,ACTIVE,PDF Cotizacion
MM-HER-000008,BCF308,UYUSTOOLS BROCA PARA METAL HSS 3/8 (9.5MM) SET 5 UNID,HER,UND,1.00,3,0.00,260.70,ACTIVE,PDF Cotizacion
MM-HER-000009,BCF516,UYUSTOOL BROCA PARA METAL HSS 5/16 (7.9MM) SET 10 UNID,HER,UND,1.00,3,0.00,315.00,ACTIVE,PDF Cotizacion
MM-HER-000010,BCP708,BROCA PLANA PARA MADERA 7/8 UYUSTOOLS,HER,UND,3.00,3,0.00,34.00,ACTIVE,PDF Cotizacion
MM-HER-000011,BCP308,BROCA PLANA PARA MADERA 3/8 UYUSTOOLS,HER,UND,3.00,3,0.00,26.00,ACTIVE,PDF Cotizacion
MM-HER-000012,BCP001,BROCA PLANA PARA MADERA 1´´ UYUSTOOL,HER,UND,3.00,3,0.00,39.50,ACTIVE,PDF Cotizacion
MM-PIN-000001,BRO02U,"BROCHA 2"" PELO BLANCO UYUSTOOLS",PIN,UND,12.00,3,0.00,17.45,ACTIVE,PDF Cotizacion
MM-PIN-000002,BR0625,"BROCHA MANGO PLASTICO 2.5"" BRO625 UYUSTOOLS",PIN,UND,12.00,3,0.00,29.90,ACTIVE,PDF Cotizacion
MM-PIN-000003,BRO603,"BROCHA MANGO PLASTICO 3"" BRO603 UYUSTOOLS",PIN,UND,12.00,3,0.00,38.72,ACTIVE,PDF Cotizacion
MM-PIN-000004,BRO604,"BROCHA MANGO PLASTICO 4"" BRO604 UYUSTOOLS",PIN,UND,6.00,3,0.00,60.85,ACTIVE,PDF Cotizacion
MM-PIN-000005,BRO01U,"BROCHA PELO BLANCO 1"" UYUSTOOLS",PIN,UND,6.00,3,0.00,9.50,ACTIVE,PDF Cotizacion
MM-PIN-000006,BRO15U,BROCHA PELO BLANCO 11/2 UYUSTOOLS,PIN,UND,6.00,3,0.00,15.00,ACTIVE,PDF Cotizacion
MM-ELE-000007,FILP00,CAJA ELECTRICA 2X4 UL 1.5MM PESADA,ELE,UND,48.00,3,0.00,24.03,ACTIVE,PDF Cotizacion
MM-ELE-000008,FILP01,CAJA ELECTRICA 4X4 UL 1.5MM PESADA,ELE,UND,48.00,3,0.00,31.04,ACTIVE,PDF Cotizacion
MM-FIJ-000012,PROV-0045,CLK- CANDADO DE SEGURIDAD FORRADO 40MM CLEVER,FIJ,UND,4.00,3,0.00,99.00,ACTIVE,PDF Cotizacion
MM-FIJ-000013,HT90136,CANDADO DE SEGURIDAD FORRADO 45MM UDUKE,FIJ,UND,4.00,3,0.00,104.00,ACTIVE,PDF Cotizacion
MM-FIJ-000014,PROV-0047,CLK- CANDADO DE SEGURIDAD FORRADO 50MM CLEVER,FIJ,UND,4.00,3,0.00,136.00,ACTIVE,PDF Cotizacion
MM-FIJ-000015,HT90138,CANDADO DE SEGURIDAD FORRADO DE 70MM UDUKE,FIJ,UND,4.00,3,0.00,175.00,ACTIVE,PDF Cotizacion
MM-FIJ-000016,HT40149,CANDADO DORADO 63MM UDUKE,FIJ,UND,4.00,3,0.00,90.00,ACTIVE,PDF Cotizacion
MM-FIJ-000017,HT40148,CANDADO DORADO 50MM UDUKE,FIJ,UND,6.00,3,0.00,65.00,ACTIVE,PDF Cotizacion
MM-FIJ-000018,HT40147,CANDADO DORADO 38MM UDUKE,FIJ,UND,6.00,3,0.00,47.75,ACTIVE,PDF Cotizacion
MM-GEN-000008,HT2279,CENTRO PARA PANTRI 4´´ UDUKE,GEN,UND,1.00,3,0.00,61.74,ACTIVE,PDF Cotizacion
MM-HER-000013,HT3146,DISCO P/CORTE VIDRIO Y CERAMICA 4 1/2 HT3146,HER,UND,3.00,3,0.00,107.90,ACTIVE,PDF Cotizacion
MM-PLO-000001,P-10073,CENTRO PARA PANTRY 112MM P-10073 AQUA BLUE,PLO,UND,3.00,3,0.00,103.49,ACTIVE,PDF Cotizacion
